n_robots,rep,robot_id,tick,vl,vr,error,collision,boundary,transporting,home,force,delivered,state,x,y
1,0,fb0,1770,-5.91,15.0,0,0,0,0,0,0,2,APPROACH,0.37,-1.05
1,0,fb0,1780,2.05,15.0,0,0,0,0,0,0,2,APPROACH,0.31,-1.03
1,0,fb0,1790,5.99,15.0,0,0,0,0,0,0,2,APPROACH,0.23,-1.08
1,0,fb0,1800,15.0,0.25,0,0,0,1,0,0,2,TRANSPORT,0.2,-1.17
1,0,fb0,1810,15.0,4.14,0,0,0,1,0,0,2,TRANSPORT,0.13,-1.23
1,0,fb0,1820,15.0,7.9,0,0,0,1,0,0,2,TRANSPORT,0.04,-1.22
1,0,fb0,1830,-9.66,15.0,0,0,0,0,0,0,2,APPROACH,-0.07,-1.15
1,0,fb0,1840,3.39,15.0,0,0,0,0,0,0,2,APPROACH,-0.13,-1.16
1,0,fb0,1850,6.57,15.0,0,0,0,0,0,0,2,APPROACH,-0.19,-1.23
1,0,fb0,1860,15.0,2.03,0,0,0,1,0,0,2,TRANSPORT,-0.22,-1.32
1,0,fb0,1870,15.0,8.69,0,0,0,1,0,0,2,TRANSPORT,-0.31,-1.36
1,0,fb0,1880,-6.14,15.0,0,0,0,0,0,0,2,APPROACH,-0.4,-1.37
1,0,fb0,1890,2.0,15.0,0,0,0,0,0,0,2,APPROACH,-0.42,-1.42
1,0,fb0,1900,6.06,15.0,0,0,0,0,0,0,2,APPROACH,-0.36,-1.5
1,0,fb0,1910,-8.52,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.25,-1.53
1,0,fb0,1920,4.41,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.19,-1.49
1,0,fb0,1930,2.63,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.17,-1.4
1,0,fb0,1940,8.78,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.23,-1.32
1,0,fb0,1950,19.65,10.35,0,0,0,0,0,0,2,SEARCH,-0.35,-1.26
1,0,fb0,1960,15.0,0.25,0,0,0,0,0,0,2,APPROACH,-0.39,-1.21
1,0,fb0,1970,15.0,5.11,0,0,0,0,0,0,2,APPROACH,-0.34,-1.14
1,0,fb0,1980,15.0,7.62,0,0,0,0,0,0,2,APPROACH,-0.23,-1.11
1,0,fb0,1990,3.05,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.16,-1.1
1,0,fb0,2000,7.46,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.11,-1.01
1,0,fb0,2010,15.0,-4.4,0,0,0,0,0,0,2,APPROACH,-0.1,-0.95
