tick,robot_id,neighbor_count,stopped,swarm_size
90,fb12,0,0,30
90,fb13,1,1,30
90,fb14,2,1,30
90,fb15,1,1,30
90,fb16,1,1,30
90,fb17,2,1,30
90,fb18,1,1,30
90,fb19,1,1,30
90,fb20,1,1,30
90,fb21,0,0,30
90,fb22,0,0,30
90,fb23,1,1,30
90,fb24,2,1,30
90,fb25,1,1,30
90,fb26,2,1,30
90,fb27,1,1,30
90,fb28,0,0,30
90,fb29,0,0,30
95,fb0,1,1,30
95,fb1,2,1,30
95,fb2,2,1,30
95,fb3,1,1,30
95,fb4,0,0,30
95,fb5,1,1,30
95,fb6,1,1,30
95,fb7,1,1,30
95,fb8,1,1,30
95,fb9,2,1,30
95,fb10,0,0,30
95,fb11,1,1,30
95,fb12,0,0,30
95,fb13,1,1,30
95,fb14,2,1,30
95,fb15,1,1,30
95,fb16,1,1,30
95,fb17,2,1,30
95,fb18,1,1,30
95,fb19,1,1,30
95,fb20,1,1,30
95,fb21,0,0,30
95,fb22,0,0,30
95,fb23,1,1,30
95,fb24,2,0,30
95,fb25,1,1,30
95,fb26,2,1,30
95,fb27,1,1,30
95,fb28,0,0,30
95,fb29,0,0,30
100,fb0,1,1,30
100,fb1,2,1,30
100,fb2,2,1,30
100,fb3,1,1,30
100,fb4,0,0,30
100,fb5,1,1,30
100,fb6,1,1,30
100,fb7,1,1,30
100,fb8,1,1,30
100,fb9,2,1,30
100,fb10,0,0,30
100,fb11,1,1,30
100,fb12,0,0,30
100,fb13,1,1,30
100,fb14,2,1,30
100,fb15,1,1,30
100,fb16,1,1,30
100,fb17,2,1,30
100,fb18,1,1,30
100,fb19,1,1,30
100,fb20,1,1,30
100,fb21,0,0,30
100,fb22,0,0,30
100,fb23,1,1,30
100,fb24,2,1,30
100,fb25,1,1,30
100,fb26,2,1,30
100,fb27,1,0,30
100,fb28,0,0,30
100,fb29,0,0,30
105,fb0,1,1,30
105,fb1,2,1,30
105,fb2,2,1,30
105,fb3,1,1,30
105,fb4,0,0,30
105,fb5,1,1,30
105,fb6,1,1,30
105,fb7,1,1,30
105,fb8,1,1,30
105,fb9,2,1,30
105,fb10,0,0,30
105,fb11,1,1,30
105,fb12,0,0,30
105,fb13,1,1,30
105,fb14,2,1,30
105,fb15,1,1,30
105,fb16,1,1,30
105,fb17,2,1,30
105,fb18,1,1,30
105,fb19,1,1,30
105,fb20,1,1,30
105,fb21,0,0,30
105,fb22,0,0,30
105,fb23,1,1,30
105,fb24,2,1,30
105,fb25,1,1,30
105,fb26,2,1,30
105,fb27,1,1,30
105,fb28,0,0,30
105,fb29,0,0,30
110,fb0,1,1,30
110,fb1,2,1,30
110,fb2,2,1,30
110,fb3,1,1,30
110,fb4,0,0,30
110,fb5,1,1,30
110,fb6,1,1,30
110,fb7,1,1,30
110,fb8,1,1,30
110,fb9,2,1,30
110,fb10,0,0,30
110,fb11,1,1,30
110,fb12,0,0,30
110,fb13,1,1,30
110,fb14,2,1,30
110,fb15,1,1,30
110,fb16,1,1,30
110,fb17,2,1,30
110,fb18,1,1,30
110,fb19,1,1,30
110,fb20,1,1,30
110,fb21,0,0,30
110,fb22,0,0,30
110,fb23,1,1,30
110,fb24,2,1,30
110,fb25,1,1,30
110,fb26,2,1,30
110,fb27,1,1,30
110,fb28,0,0,30
110,fb29,0,0,30
115,fb0,1,1,30
115,fb1,2,1,30
115,fb2,2,1,30
115,fb3,1,1,30
115,fb4,0,0,30
115,fb5,1,1,30
115,fb6,1,1,30
115,fb7,1,1,30
115,fb8,1,1,30
115,fb9,2,1,30
115,fb10,0,0,30
115,fb11,1,1,30
115,fb12,0,0,30
115,fb13,1,1,30
115,fb14,2,1,30
115,fb15,1,1,30
115,fb16,1,1,30
115,fb17,2,1,30
115,fb18,1,1,30
115,fb19,1,1,30
115,fb20,1,1,30
115,fb21,0,0,30
115,fb22,0,0,30
115,fb23,1,1,30
115,fb24,2,1,30
115,fb25,1,1,30
115,fb26,2,1,30
115,fb27,1,1,30
115,fb28,0,0,30
115,fb29,0,0,30
120,fb0,1,1,30
120,fb1,2,1,30
